sample	junction	class	frame_class	variants	complex_class	frame_count
L2	chr10_89334126_-:chr10_90588420_+	gene_intergenic	complex_fusion_gene	chr10_89292758_-:chr10_89294975_-^chr10_89292801_+:chr10_89323549_+^chr10_89334126_-:chr10_90588420_+	complex	2
L2	chr11_21840634_-:chr11_21840676_+	intergenic	_			NA
L2	chr11_22057406_-:chr11_22057449_+	intergenic	_			NA
L2	chrX_11951972_+:chr11_37440592_+	intergenic	_			NA
L2	chr11_114309968_-:chr11_114312433_+	intragenic	_			NA
L2	chr12_2866836_-:chr20_61442339_-	gene_gene	_			NA
L2	chr12_3267393_+:chr19_22848372_-	gene_gene	_			NA
L2	chr12_3992888_+:chr12_3994164_+	intragenic	_			NA
L2	chr12_3992889_-:chrX_48159416_+	gene_intergenic	_			NA
L2	chr12_4200041_+:chr12_4856343_+	intergenic	_			NA
L2	chr12_4290405_-:chr15_89655712_+	intergenic	_			NA
L2	chr12_4996113_+:chr12_4998419_+	intergenic	_			NA
L2	chr12_5466176_-:chr12_5497696_-	gene_intergenic	_			NA
L2	chr12_18552600_-:chr12_18552649_+	intragenic	_			NA
L2	chr12_74235926_-:chr12_74308415_+	intergenic	_			NA
L2	chr12_81167700_+:chr12_119908886_-	gene_intergenic	_			NA
L2	chr12_81194900_-:chr12_107260498_+	intergenic	_			NA
L2	chr12_107261176_-:chr12_123681855_+	gene_intergenic	_			NA
L2	chr12_113941625_+:chr12_120156518_-	intergenic	_			NA
L2	chr15_62101856_+:chr12_123683100_-	intergenic	_			NA
L2	chr13_79801160_-:chr13_79803192_+	intergenic	_			NA
L2	chr14_43164233_-:chr14_43173297_+	gene_intergenic	_			NA
L2	chr14_49360357_+:chr14_49360422_-	intergenic	_			NA
L2	chr15_99479662_-:chr15_99479723_+	intragenic	_			NA
L2	chr17_12423199_+:chr17_12423681_-	intergenic	_			NA
L2	chr17_39677476_-:chr17_39682637_+	gene_gene	_			NA
L2	chr18_15316094_+:chr18_15318001_+	intragenic	_			NA
L2	chr18_50021748_+:chr18_50021759_+	intragenic	_			NA
L2	chrX_11953035_-:chr18_50021815_-	gene_intergenic	_			NA
L2	chr19_16289474_+:chr20_62888843_-	gene_intergenic	_			NA
L2	chr19_55755508_-:chr19_55757020_+	intragenic	_			NA
L2	chr20_2313414_-:chr20_2314968_+	intragenic	_			NA
L2	chr20_8412823_-:chr20_8617503_+	intragenic	_			NA
L2	chr20_24158096_-:chr20_24158302_+	intergenic	_			NA
L2	chr20_29455386_-:chr20_29457089_-	intergenic	_			NA
L2	chr20_32747379_-:chr20_32757264_+	intergenic	_			NA
L2	chr20_33112299_+:chr20_33113058_+	intragenic	_			NA
L2	chr20_33250738_-:chr20_37822429_-	intergenic	_			NA
L2	chr20_33998844_+:chrX_55619253_+	gene_intergenic	simple_fusion_gene	chr20_33998844_+:chrX_55619253_+	simple	4
L2	chr20_34148815_-:chr20_34173011_+	intragenic	_			NA
L2	chr20_35095845_+:chr20_35096970_+	intragenic	_			NA
L2	chr20_61635164_+:chr20_61636055_+	intergenic	_			NA
L2	chr22_27630072_+:chr22_27630124_-	intergenic	_			NA
L2	chr22_29065684_-:chrX_111440149_+	intergenic	_			NA
L2	chr22_40974085_-:chr22_40982758_+	intragenic	_			NA
L2	chrX_6495618_-:chrX_6613023_+	gene_intergenic	_			NA
L2	chrX_11951976_-:chrX_11952196_-	intergenic	_			NA
L2	chrX_28247309_-:chrX_67403387_-	intergenic	_			NA
L2	chrX_30658098_-:chrX_30658178_+	intergenic	_			NA
L2	chrX_30690998_-:chrX_30691521_+	intragenic	_			NA
L18	chr5_315364_+:chr5_73192043_+	intergenic	_			NA
L18	chr5_73192042_-:chr5_76809689_-	gene_gene	_			NA
L18	chr5_76809699_+:chr5_86705723_-	gene_gene	_			NA
L18	chr5_86705967_+:chr9_90165250_-	gene_intergenic	simple_hidden_frame	chr5_86705967_+:chr9_90165250_-	simple	3
L18	chr5_113682602_+:chr5_113682786_-	intergenic	_			NA
L18	chr9_90165558_+:chr12_121693141_-	intergenic	_			NA
L18	chr14_32113085_-:chr14_32113125_+	intragenic	_			NA
L18	chr14_35385245_-:chr17_78056045_-	gene_intergenic	_			NA
L18	chrX_18818769_+:chrX_19409022_-	intergenic	_			NA
L8	chr3_8545687_-:chr3_95753363_-	gene_intergenic	_			NA
L8	chr3_8568115_+:chr11_77883587_+	gene_gene	_			NA
L8	chr3_86297705_-:chr9_141046340_-	gene_intergenic	_			NA
L8	chr3_95757113_+:chr9_141046361_+	intergenic	_			NA
L8	chr9_141038282_+:chr3_174418876_-	gene_gene	_			NA
L8	chr4_90158899_+:chr4_90158945_-	intragenic	_			NA
L8	chr4_144094536_-:chr4_144094569_+	intragenic	_			NA
L8	chr11_77883579_-:chr11_77884297_+	intragenic	_			NA
L8	chr11_77884206_-:chr11_77900443_-	gene_gene	_			NA
L16	chr1_14803059_-:chr20_50644077_-	intergenic	_			NA
L16	chr1_14995933_+:chr20_50728643_+	gene_gene	simple_fusion_gene	chr1_14995933_+:chr20_50728643_+	simple	1
L16	chr1_27785914_+:chr1_27931342_-	gene_intergenic	_			NA
L16	chr1_49311479_-:chr1_49639805_+	intragenic	_			NA
L16	chr1_62468063_-:chr1_62468123_+	intragenic	_			NA
L16	chr1_74225499_-:chr1_74230462_+	intergenic	_			NA
L16	chr1_74226904_-:chr1_74230710_-	intergenic	_			NA
L16	chr1_74230506_-:chr2_118644656_+	intergenic	_			NA
L16	chr1_74230638_+:chr1_74234283_+	intergenic	_			NA
L16	chr1_86283774_-:chr1_86292631_+	intragenic	_			NA
L16	chr3_99029474_+:chr1_114046099_+	intergenic	_			NA
L16	chr3_99024883_-:chr1_114046372_-	gene_intergenic	_			NA
L16	chr1_152127321_-:chr1_152127364_+	intragenic	_			NA
L16	chr4_137213934_-:chr1_176931639_-	intergenic	_			NA
L16	chr2_14222967_-:chr2_14224663_+	intragenic	_			NA
L16	chr2_16539525_+:chr20_21701861_+	intergenic	_			NA
L16	chr2_69844983_-:chr2_69869521_+	intragenic	_			NA
L16	chr2_99465604_-:chr2_99527871_+	intragenic	_			NA
L16	chr11_70100411_-:chr2_116645666_+	intergenic	_			NA
L16	chr2_118644446_-:chr2_118645529_-	intragenic	_			NA
L16	chr2_134126555_-:chr2_134423092_+	intergenic	_			NA
L16	chr2_172643017_+:chr2_172643165_-	intragenic	_			NA
L16	chr3_12550139_+:chr3_12550197_-	intragenic	_			NA
L16	chr3_93985149_-:chr3_93990117_-	intergenic	_			NA
L16	chr3_96937376_+:chr3_96941412_-	intragenic	_			NA
L16	chr3_99020915_-:chr3_99029710_-	intergenic	_			NA
L16	chr5_78426567_-:chr3_105794700_-	gene_intergenic	_			NA
L16	chr3_107297724_-:chr3_107305782_+	intragenic	_			NA
L16	chr21_32652859_-:chr3_123590902_+	gene_gene	_			NA
L16	chr4_26497978_-:chr4_26506332_+	intergenic	_			NA
L16	chr4_56600930_-:chr4_56600981_+	intergenic	_			NA
L16	chr4_62956643_-:chr4_62956877_+	intragenic	_			NA
L16	chr4_86615405_-:chr4_86866796_+	intragenic	_			NA
L16	chr4_152207563_+:chr4_152277166_-	gene_intergenic	_			NA
L16	chr5_50668373_-:chr5_50672115_-	intergenic	_			NA
L16	chr18_12111242_-:chr5_51456301_-	gene_intergenic	_			NA
L16	chr18_12111262_+:chr5_51456392_+	intergenic	_			NA
L16	chr8_15054283_+:chr5_138665748_+	gene_gene	_			NA
L16	chr8_15054283_-:chr5_138666088_-	gene_gene	_			NA
L16	chr6_31329954_+:chr6_114378909_+	gene_intergenic	complex_hidden_frame	chr6_31329954_+:chr6_114378909_+^chr6_31329954_+:chr6_114378909_+^chr6_31330093_-:chr6_31335790_+	complex	1
L16	chr6_31330093_-:chr6_31335790_+	intergenic	complex_hidden_frame	chr6_31329954_+:chr6_114378909_+^chr6_31329954_+:chr6_114378909_+^chr6_31330093_-:chr6_31335790_+	complex	1
L16	chr6_37420904_-:chr6_37424460_+	intragenic	_			NA
L16	chr6_57758868_-:chr6_57847207_+	intergenic	_			NA
L16	chr6_57839323_+:chr6_79462492_+	intergenic	_			NA
L16	chr6_57839642_-:chr6_57847033_+	intergenic	_			NA
L16	chr6_57839750_+:chr6_79457767_+	intergenic	_			NA
L16	chr6_57839785_-:chr6_64439293_-	gene_intergenic	_			NA
L16	chr6_57839820_+:chr6_79462501_-	intergenic	_			NA
L16	chr6_57846668_+:chr6_79462306_+	intergenic	_			NA
L16	chr6_57846919_+:chr6_64441548_-	gene_intergenic	_			NA
L16	chr6_57846929_-:chr6_64439211_+	gene_intergenic	_			NA
L16	chr6_57847044_-:chr6_64440998_-	gene_intergenic	_			NA
L16	chr6_57847214_-:chr6_64441244_-	gene_intergenic	_			NA
L16	chr6_57848401_+:chr6_64440913_+	gene_intergenic	_			NA
L16	chr6_57848590_+:chr6_79457924_-	intergenic	_			NA
L16	chr6_57848639_-:chr6_64439969_+	gene_intergenic	_			NA
L16	chr6_57848687_-:chr6_64439223_-	gene_intergenic	_			NA
L16	chr6_64172763_+:chr9_119297382_+	gene_intergenic	_			NA
L16	chr6_64437128_+:chr6_79461775_+	gene_intergenic	_			NA
L16	chr6_64437188_-:chr6_79517728_-	gene_intergenic	_			NA
L16	chr6_64438554_-:chr6_79461841_-	gene_intergenic	_			NA
L16	chr6_64438844_+:chr6_79464451_+	gene_intergenic	_			NA
L16	chr6_64439233_+:chr6_79457796_+	gene_intergenic	_			NA
L16	chr6_64439241_-:chr6_64440965_-	intragenic	_			NA
L16	chr6_64440057_-:chr6_64440986_+	intragenic	_			NA
L16	chr6_64440964_+:chr6_79462387_-	gene_intergenic	_			NA
L16	chr6_64440986_+:chr6_79457924_-	gene_intergenic	_			NA
L16	chr6_64441244_+:chr6_79462500_-	gene_intergenic	_			NA
L16	chr6_79457799_-:chr6_79462463_+	intergenic	_			NA
L16	chr6_79458415_-:chr6_79464601_-	intergenic	_			NA
L16	chr6_79463108_-:chr6_79464458_-	intergenic	_			NA
L16	chr6_79480034_+:chr6_79633517_-	gene_intergenic	_			NA
L16	chr6_135497025_+:chr6_135622286_-	intergenic	_			NA
L16	chr6_162623203_-:chr6_162881172_+	intragenic	_			NA
L16	chr7_13458883_-:chr7_13538586_+	intragenic	_			NA
L16	chr7_18643522_-:chr7_18808045_+	intragenic	_			NA
L16	chr7_95792792_-:chr7_95810094_+	intragenic	_			NA
L16	chr20_59459860_+:chr7_141617913_+	intergenic	_			NA
L16	chr20_59452239_-:chr7_141618108_-	gene_intergenic	_			NA
L16	chr7_144218080_-:chr7_144227198_+	intragenic	_			NA
L16	chr11_69442622_+:chr7_148722710_+	gene_intergenic	_			NA
L16	chr11_69434238_-:chr7_148722886_-	intergenic	_			NA
L16	chr8_669059_+:chr8_681631_+	intragenic	_			NA
L16	chr8_2574471_+:chr8_2625977_-	gene_intergenic	_			NA
L16	chr8_4439189_-:chr8_4864380_+	intergenic	_			NA
L16	chr12_6532492_-:chr8_67447906_+	intergenic	_			NA
L16	chr12_6537594_-:chr8_67448170_-	intergenic	_			NA
L16	chr20_54440384_+:chr8_76610691_-	intergenic	_			NA
L16	chr8_115163751_+:chr8_115165273_-	intergenic	_			NA
L16	chr8_115163891_-:chr8_115218520_+	intergenic	_			NA
L16	chr13_61461317_-:chr8_132099615_-	intergenic	_			NA
L16	chr9_9038224_-:chr9_9887364_+	intragenic	_			NA
L16	chr10_11064578_-:chr10_11083268_+	intragenic	_			NA
L16	chr10_88335778_-:chr10_90122087_+	gene_intergenic	_			NA
L16	chr14_54802379_+:chr10_135516995_-	intergenic	_			NA
L16	chr11_9790221_+:chr11_9875469_-	gene_gene	_			NA
L16	chr11_14032989_-:chr11_14041686_+	intragenic	_			NA
L16	chr12_7667100_-:chr11_41342400_+	gene_intergenic	_			NA
L16	chr12_7668908_-:chr11_41342537_-	intergenic	_			NA
L16	chr11_45770819_-:chr11_45770854_+	intergenic	_			NA
L16	chr11_69378589_+:chr11_69378643_+	intergenic	_			NA
L16	chr11_69599641_+:chr11_69608784_+	intergenic	_			NA
L16	chr11_70067030_-:chrX_155174189_-	intergenic	_			NA
L16	chr11_70075886_-:chrX_155173955_+	intergenic	_			NA
L16	chr11_70096578_+:chr11_70099800_+	intergenic	_			NA
L16	chr11_70380731_-:chr11_70385399_-	intragenic	_			NA
L16	chr12_6378394_+:chr12_6380063_+	intergenic	_			NA
L16	chr12_6474628_+:chr12_6474655_+	intragenic	_			NA
L16	chr12_6723295_-:chr12_6726027_-	intergenic	simple_hidden_frame	chr12_6723295_-:chr12_6726027_-	simple	3
L16	chr12_6972411_+:chr12_6982332_+	gene_gene	_			NA
L16	chr12_6982801_-:chr12_6984310_-	intragenic	_			NA
L16	chr12_73125100_+:chr12_73270534_+	intergenic	_			NA
L16	chr12_73259067_-:chr12_73259435_-	intergenic	_			NA
L16	chr12_73267999_+:chr12_73270617_-	intergenic	_			NA
L16	chr12_99672423_-:chr12_99828993_+	intragenic	_			NA
L16	chr13_108992425_+:chr13_108992501_-	intergenic	_			NA
L16	chr14_54798870_-:chr14_54801824_-	intergenic	_			NA
L16	chr14_90141081_-:chr14_90156238_+	intragenic	_			NA
L16	chr14_103014394_-:chr14_103299659_+	gene_gene	_			NA
L16	chr14_106329460_-:chr14_106370546_+	gene_gene	_			NA
L16	chr14_106330463_-:chr14_106331761_+	gene_gene	_			NA
L16	chr15_61657745_-:chr15_61667819_+	intragenic	_			NA
L16	chr17_9134173_+:chr17_9164116_-	intergenic	_			NA
L16	chr17_51311957_-:chr17_51316389_+	intergenic	_			NA
L16	chr17_77306645_-:chr17_77325808_+	intragenic	_			NA
L16	chr18_1183107_-:chr18_1186075_-	intergenic	_			NA
L16	chr18_1184509_+:chr18_1186001_+	intergenic	_			NA
L16	chr18_59752976_-:chr18_59753053_+	intragenic	_			NA
L16	chr18_63369299_-:chr18_63376579_+	intergenic	_			NA
L16	chr19_6550242_-:chr19_6550418_+	intergenic	_			NA
L16	chr19_23464439_-:chr19_23464477_+	intergenic	_			NA
L16	chr19_24316000_-:chr19_24316198_+	intergenic	_			NA
L16	chr20_21701860_-:chr20_21719813_+	intergenic	_			NA
L16	chr21_32644014_-:chr21_32652784_+	intragenic	_			NA
L16	chrX_75374779_-:chrX_75374827_+	intergenic	_			NA
L16	chrX_118670037_+:chrX_118705511_-	intergenic	_			NA
L16	chrX_136787354_+:chrX_136787412_-	intergenic	_			NA
G1	chr1_23177770_+:chr1_23177880_-	intragenic	_			NA
G1	chr1_92014675_-:chr1_93761947_+	gene_intergenic	_			NA
G1	chr1_175171834_+:chr1_175849736_-	intergenic	_			NA
G1	chr1_215676733_-:chr1_215681002_+	intergenic	_			NA
G1	chr1_215890161_-:chr1_220075471_+	gene_gene	_			NA
G1	chr1_216567942_+:chr1_220087247_-	gene_gene	_			NA
G1	chr1_219542053_-:chr1_219573329_+	intergenic	_			NA
G1	chr1_219543534_+:chr1_220084746_-	intergenic	_			NA
G1	chr1_219573155_-:chr1_220069334_-	intergenic	_			NA
G1	chr1_220085863_+:chr1_220091136_+	intragenic	_			NA
G1	chr1_244993308_-:chr1_245769146_+	intergenic	_			NA
G1	chr2_18472541_-:chr2_18473048_+	intragenic	_			NA
G1	chr20_21930671_-:chr2_49014063_+	gene_intergenic	_			NA
G1	chr2_49016237_-:chr2_49687579_-	intergenic	_			NA
G1	chr2_49346480_-:chr2_49477854_+	intergenic	_			NA
G1	chr2_49415718_+:chr2_49509709_+	intergenic	_			NA
G1	chr2_49454091_-:chr2_49509587_-	intergenic	_			NA
G1	chr20_21932310_+:chr2_49651721_+	intergenic	_			NA
G1	chr2_141004694_+:chr2_141412210_-	intragenic	_			NA
G1	chr2_142430172_-:chr2_142435872_+	intragenic	_			NA
G1	chr2_227263155_-:chr2_227740436_-	gene_intergenic	simple_hidden_frame	chr2_227263155_-:chr2_227740436_-	simple	1
G1	chr2_227293375_+:chr2_227833202_+	intergenic	_			NA
G1	chr2_227318874_-:chr2_227542252_-	intergenic	_			NA
G1	chr2_227319833_+:chr2_227598909_-	intergenic	_			NA
G1	chr2_227416199_-:chr2_227534506_+	intergenic	_			NA
G1	chr2_227429930_+:chr2_227569225_+	intergenic	_			NA
G1	chr2_227436586_-:chr2_227599445_+	gene_intergenic	_			NA
G1	chr2_227436833_+:chr2_227527078_+	intergenic	_			NA
G1	chr2_227522563_-:chr2_227638010_-	intergenic	_			NA
G1	chr2_227532804_-:chr2_227638942_+	gene_intergenic	_			NA
G1	chr11_6135270_+:chr3_40517796_-	gene_intergenic	_			NA
G1	chr3_196537432_+:chr3_196610176_-	gene_gene	_			NA
G1	chr6_156279028_+:chr3_196539555_-	gene_intergenic	_			NA
G1	chr6_156350892_+:chr3_196543845_+	intergenic	_			NA
G1	chr3_196613425_+:chr3_197030577_+	intergenic	_			NA
G1	chr6_156269285_-:chr3_196729490_-	gene_intergenic	_			NA
G1	chr6_156271557_+:chr3_196772188_+	gene_intergenic	_			NA
G1	chr6_156277851_+:chr3_196848030_-	intergenic	_			NA
G1	chr6_156200964_+:chr3_196848548_+	gene_intergenic	_			NA
G1	chr6_157125973_+:chr3_196970205_-	intergenic	_			NA
G1	chr6_156279720_-:chr3_197119936_-	intergenic	_			NA
G1	chr4_73316_+:chr15_48083345_-	intergenic	_			NA
G1	chr4_9899714_-:chr4_111731656_+	intergenic	_			NA
G1	chr4_20080900_+:chr4_111732078_-	intergenic	_			NA
G1	chr4_20081148_-:chr4_60683339_-	intergenic	_			NA
G1	chr4_53232135_+:chr4_58014296_-	gene_intergenic	_			NA
G1	chr4_53232448_-:chr6_131233649_-	intergenic	_			NA
G1	chr4_53232598_+:chr6_160587917_-	intergenic	_			NA
G1	chr4_53238362_+:chr4_58013685_+	intergenic	_			NA
G1	chr4_53504693_+:chr4_64814537_-	gene_intergenic	simple_hidden_frame	chr4_53504693_+:chr4_64814537_-	simple	1
G1	chr4_53841583_+:chr4_55882349_-	gene_intergenic	simple_hidden_frame	chr4_53841583_+:chr4_55882349_-	simple	1
G1	chr4_54802898_+:chr4_54889835_-	intragenic	_			NA
G1	chr4_58013680_-:chr6_131233202_-	gene_gene	_			NA
G1	chr4_58022727_-:chr6_131231789_+	gene_intergenic	_			NA
G1	chr4_60683283_+:chr4_126017369_-	intergenic	_			NA
G1	chr4_91004058_-:chr4_102497882_-	gene_intergenic	_			NA
G1	chr4_171133358_-:chr4_173517517_+	intergenic	_			NA
G1	chr4_174760994_+:chr4_174761059_-	intergenic	_			NA
G1	chr4_179182761_-:chr4_179676315_+	intergenic	_			NA
G1	chr5_479461_+:chr5_2227243_-	gene_intergenic	_			NA
G1	chr5_65471981_+:chr11_130226965_+	intergenic	_			NA
G1	chr5_66191257_-:chr11_130229914_-	gene_intergenic	_			NA
G1	chr11_111108012_-:chr5_122984989_-	intergenic	_			NA
G1	chr5_140095788_+:chrX_150063715_-	intergenic	_			NA
G1	chrX_13793968_+:chr5_140095995_-	gene_intergenic	_			NA
G1	chr5_166137586_-:chr5_166139698_+	intergenic	_			NA
G1	chr10_85583246_+:chr5_175629388_-	intergenic	_			NA
G1	chr6_32555209_+:chrX_148701172_+	gene_intergenic	_			NA
G1	chr6_51285646_-:chr6_51286409_+	intergenic	_			NA
G1	chr6_51636017_-:chr6_51656792_+	intragenic	_			NA
G1	chr6_103561857_+:chr6_131233404_-	intergenic	_			NA
G1	chr6_103561965_-:chr6_131232729_+	gene_intergenic	_			NA
G1	chr6_113365524_+:chr6_130730308_+	intergenic	_			NA
G1	chr6_113365696_-:chr6_130730103_+	intergenic	_			NA
G1	chr6_130730191_-:chr6_157443080_-	gene_intergenic	_			NA
G1	chr6_130730463_-:chr6_131235900_-	gene_gene	_			NA
G1	chr6_130730590_+:chr6_131232825_-	intergenic	_			NA
G1	chr6_130731076_-:chr6_133114405_+	gene_intergenic	_			NA
G1	chr6_131231939_-:chr6_131235587_+	intragenic	_			NA
G1	chr6_131232838_+:chr6_133116060_-	gene_gene	_			NA
G1	chr6_131233211_+:chr6_133114619_+	gene_intergenic	_			NA
G1	chr6_131233408_+:chr6_160587034_+	gene_intergenic	_			NA
G1	chr6_133114111_+:chr6_157442953_+	gene_gene	_			NA
G1	chr6_133114411_-:chr6_133114460_-	intragenic	_			NA
G1	chr6_156017169_+:chr6_160079702_+	intergenic	_			NA
G1	chr6_156018538_-:chr6_156020712_-	intergenic	_			NA
G1	chr6_156198542_-:chr6_168458546_-	intergenic	_			NA
G1	chr6_156279670_-:chr6_169224490_+	intergenic	_			NA
G1	chr6_156343395_-:chr6_157125330_-	gene_intergenic	_			NA
G1	chr6_156411135_-:chr6_156745472_+	intergenic	_			NA
G1	chr6_169399027_-:chr6_169400727_+	intergenic	_			NA
G1	chr6_170178998_-:chr6_170179227_+	intragenic	_			NA
G1	chr7_40483827_+:chr7_40484312_+	intragenic	_			NA
G1	chr7_52948194_+:chr7_56190296_-	intergenic	_			NA
G1	chr7_54027998_+:chr7_81801692_-	intergenic	_			NA
G1	chr7_55819828_-:chr7_81799630_+	gene_intergenic	_			NA
G1	chr7_63764898_+:chr7_81801610_-	intergenic	_			NA
G1	chr7_65429734_-:chr7_80795947_+	intergenic	_			NA
G1	chr7_73437920_-:chr7_151608982_+	intergenic	_			NA
G1	chr19_23659413_+:chr7_103211815_-	intergenic	_			NA
G1	chrX_13794137_-:chr7_103214972_-	intergenic	_			NA
G1	chr7_106411437_-:chr7_142801907_+	intergenic	_			NA
G1	chr7_106581082_+:chr7_107495689_-	intergenic	_			NA
G1	chr7_107080248_+:chr7_146700417_-	gene_intergenic	_			NA
G1	chr7_107350606_-:chr7_112915383_+	gene_intergenic	_			NA
G1	chr7_107485469_+:chr7_151722618_-	intergenic	_			NA
G1	chr7_107495273_+:chr7_130476532_+	intergenic	_			NA
G1	chr7_107495300_+:chr7_144209955_-	intergenic	_			NA
G1	chr7_107495724_-:chr7_151579448_+	intergenic	_			NA
G1	chr7_107810876_-:chr7_121493702_-	intergenic	_			NA
G1	chr7_108378773_-:chr7_108951859_+	intergenic	_			NA
G1	chr7_109987354_-:chr7_123319272_-	intergenic	_			NA
G1	chr7_110001278_+:chr7_138721216_+	intergenic	complex_fusion_gene	chr7_110001278_+:chr7_138721216_+^chr7_110001445_-:chr7_120494309_+^chr7_138721263_-:chr7_142562495_+	complex	2
